benchmark,operation,mata-runtime-0,mata-runtime-1,mona-runtime-0,mona-runtime-1
../benchmarks/non-incremental-QF_SLIA-20230331-transducer-plus/projection/non-incremental-QF_SLIA-20230331-transducer-plus-Commutativity-escapeString-toUpper-smt2_reverse_145.mata,projection,4470,91960,1267,1123
../benchmarks/non-incremental-QF_SLIA-20230331-transducer-plus/projection/non-incremental-QF_SLIA-20230331-transducer-plus-Commutativity-escapeString-toUpper-smt2_reverse_145.mata,projection,4515,92490,1489,1362
../benchmarks/non-incremental-QF_SLIA-20230331-transducer-plus/projection/non-incremental-QF_SLIA-20230331-transducer-plus-Commutativity-addslashes-toUpper-smt2_19.mata,projection,314,5116,33,21
../benchmarks/non-incremental-QF_SLIA-20230331-transducer-plus/projection/non-incremental-QF_SLIA-20230331-transducer-plus-Commutativity-addslashes-toUpper-smt2_19.mata,projection,324,5551,31,20
../benchmarks/non-incremental-QF_SLIA-20230331-transducer-plus/projection/non-incremental-QF_SLIA-20230331-transducer-plus-Commutativity-addslashes-toUpper-smt2_19.mata,projection,343,5541,31,20
../benchmarks/non-incremental-QF_SLIA-20230331-transducer-plus/projection/non-incremental-QF_SLIA-20230331-transducer-plus-Commutativity-trim-toUpper-smt2_18.mata,projection,348,5582,33,24
../benchmarks/non-incremental-QF_SLIA-20230331-transducer-plus/projection/non-incremental-QF_SLIA-20230331-transducer-plus-Commutativity-trim-toUpper-smt2_18.mata,projection,331,5490,30,22
../benchmarks/non-incremental-QF_SLIA-20230331-transducer-plus/projection/non-incremental-QF_SLIA-20230331-transducer-plus-Commutativity-trim-toUpper-smt2_18.mata,projection,363,5627,30,21
../benchmarks/non-incremental-QF_SLIA-20230331-transducer-plus/projection/non-incremental-QF_SLIA-20230331-transducer-plus-Commutativity-htmlEscape-escapeString-smt2_250.mata,projection,2961,68077,1009,783
../benchmarks/non-incremental-QF_SLIA-20230331-transducer-plus/projection/non-incremental-QF_SLIA-20230331-transducer-plus-Commutativity-htmlEscape-escapeString-smt2_250.mata,projection,2741,66352,939,719
../benchmarks/non-incremental-QF_SLIA-20230331-transducer-plus/projection/non-incremental-QF_SLIA-20230331-transducer-plus-Commutativity-htmlEscape-escapeString-smt2_250.mata,projection,2774,65408,934,802
../benchmarks/non-incremental-QF_SLIA-20230331-transducer-plus/projection/non-incremental-QF_SLIA-20230331-transducer-plus-Idempotence-escapeString-smt2_197.mata,projection,1881,57640,321,267
